#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     2090.0,   0.4419E+26
5.000000,  0.00,     2095.0,   0.5180E+26
5.000000,  0.00,     2100.0,   0.7998E+26
5.000000,  0.00,     2105.0,   0.4463E+26
5.000000,  0.00,     2110.0,   0.4934E+26
5.000000,  0.00,     2115.0,   0.5965E+26
5.000000,  0.00,     2120.0,   0.6963E+26
5.000000,  0.00,     2125.0,   0.6841E+26
5.000000,  0.00,     2130.0,   0.7043E+26
5.000000,  0.00,     2135.0,   0.7875E+26
5.000000,  0.00,     2140.0,   0.8754E+26
5.000000,  0.00,     2145.0,   0.9161E+26
5.000000,  0.00,     2150.0,   0.9673E+26
5.000000,  0.00,     2155.0,   0.9061E+26
5.000000,  0.00,     2160.0,   0.9033E+26
5.000000,  0.00,     2165.0,   0.9377E+26
5.000000,  0.00,     2170.0,   0.8791E+26
5.000000,  0.00,     2175.0,   0.9684E+26
5.000000,  0.00,     2180.0,   0.1116E+27
5.000000,  0.00,     2185.0,   0.1368E+27
5.000000,  0.00,     2190.0,   0.1550E+27
5.000000,  0.00,     2195.0,   0.1624E+27
5.000000,  0.00,     2200.0,   0.1699E+27
5.000000,  0.00,     2205.0,   0.1547E+27
5.000000,  0.00,     2210.0,   0.1514E+27
5.000000,  0.00,     2215.0,   0.1559E+27
5.000000,  0.00,     2220.0,   0.1707E+27
5.000000,  0.00,     2225.0,   0.1806E+27
5.000000,  0.00,     2230.0,   0.1764E+27
5.000000,  0.00,     2235.0,   0.1903E+27
5.000000,  0.00,     2240.0,   0.2002E+27
5.000000,  0.00,     2245.0,   0.2106E+27
5.000000,  0.00,     2250.0,   0.2143E+27
5.000000,  0.00,     2255.0,   0.1878E+27
5.000000,  0.00,     2260.0,   0.1799E+27
5.000000,  0.00,     2265.0,   0.1737E+27
5.000000,  0.00,     2270.0,   0.1780E+27
5.000000,  0.00,     2275.0,   0.1720E+27
5.000000,  0.00,     2280.0,   0.1943E+27
5.000000,  0.00,     2285.0,   0.2005E+27
5.000000,  0.00,     2290.0,   0.1911E+27
5.000000,  0.00,     2295.0,   0.1993E+27
5.000000,  0.00,     2300.0,   0.2230E+27
5.000000,  0.00,     2305.0,   0.2374E+27
5.000000,  0.00,     2310.0,   0.2386E+27
