angstrom,flux
3409.1999999999916,0.0
3409.2999999999915,0.0
3409.3999999999915,0.0
3409.4999999999914,0.0
3409.5999999999913,0.0
3409.699999999991,0.0
3409.799999999991,0.0
3409.899999999991,0.0
3409.999999999991,0.0
3410.099999999991,0.0
3410.1999999999907,0.0
3410.2999999999906,0.0
3410.3999999999905,0.0
3410.4999999999905,0.0
3410.5999999999904,0.0
3410.6999999999903,0.0
3410.79999999999,0.0
3410.89999999999,0.0
3410.99999999999,0.0
3411.09999999999,0.0
3411.19999999999,0.0
3411.2999999999897,0.0
3411.3999999999896,0.0
3411.4999999999895,0.0
3411.5999999999894,0.0
3411.6999999999894,0.0
3411.7999999999893,0.0
3411.899999999989,0.0
3411.999999999989,0.0
3412.099999999989,0.0
3412.199999999989,0.0
3412.299999999989,0.0
3412.3999999999887,0.0
3412.4999999999886,0.0
3412.5999999999885,0.0
3412.6999999999884,0.0
3412.7999999999884,0.0
3412.8999999999883,0.0
3412.999999999988,0.0
3413.099999999988,0.0
3413.199999999988,0.0
3413.299999999988,0.0
3413.399999999988,0.0
3413.4999999999877,0.0
3413.5999999999876,0.0
3413.6999999999875,0.0
3413.7999999999874,0.0
3413.8999999999874,0.0
3413.9999999999873,0.0
3414.099999999987,0.0
3414.199999999987,0.0
3414.299999999987,0.0
3414.399999999987,0.0
3414.499999999987,0.0
3414.5999999999867,0.0
3414.6999999999866,0.0
3414.7999999999865,0.0
3414.8999999999864,0.0
3414.9999999999864,0.0
3415.0999999999863,0.0
3415.199999999986,0.0
3415.299999999986,0.0
3415.399999999986,0.0
3415.499999999986,0.0
3415.599999999986,0.0
3415.6999999999857,0.0
3415.7999999999856,0.0
3415.8999999999855,0.0
3415.9999999999854,0.0
3416.0999999999854,0.0
3416.1999999999853,0.0
3416.299999999985,0.0
3416.399999999985,0.0
3416.499999999985,0.0
3416.599999999985,0.0
3416.699999999985,0.0
3416.7999999999847,0.0
3416.8999999999846,0.0
3416.9999999999845,0.0
3417.0999999999844,0.0
3417.1999999999844,0.0
3417.2999999999843,0.0
3417.399999999984,0.0
3417.499999999984,0.0
3417.599999999984,0.0
3417.699999999984,0.0
3417.799999999984,0.0
3417.8999999999837,0.0
3417.9999999999836,0.0
3418.0999999999835,0.0
3418.1999999999834,0.0
3418.2999999999834,0.0
3418.3999999999833,0.0
3418.499999999983,0.0
3418.599999999983,0.0
3418.699999999983,0.0
3418.799999999983,0.0
3418.899999999983,0.0
