#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
3.000000,  0.00,     3115.0,   0.7160E+28
3.000000,  0.00,     3120.0,   0.7114E+28
3.000000,  0.00,     3125.0,   0.7229E+28
3.000000,  0.00,     3130.0,   0.7464E+28
3.000000,  0.00,     3135.0,   0.7606E+28
3.000000,  0.00,     3140.0,   0.7559E+28
3.000000,  0.00,     3145.0,   0.7433E+28
3.000000,  0.00,     3150.0,   0.7647E+28
3.000000,  0.00,     3155.0,   0.7648E+28
3.000000,  0.00,     3160.0,   0.7975E+28
3.000000,  0.00,     3165.0,   0.8323E+28
3.000000,  0.00,     3170.0,   0.8738E+28
3.000000,  0.00,     3175.0,   0.8910E+28
3.000000,  0.00,     3180.0,   0.8716E+28
3.000000,  0.00,     3185.0,   0.8462E+28
3.000000,  0.00,     3190.0,   0.8464E+28
3.000000,  0.00,     3195.0,   0.8696E+28
3.000000,  0.00,     3200.0,   0.9376E+28
3.000000,  0.00,     3205.0,   0.9387E+28
3.000000,  0.00,     3210.0,   0.9034E+28
3.000000,  0.00,     3215.0,   0.8461E+28
3.000000,  0.00,     3220.0,   0.7938E+28
3.000000,  0.00,     3225.0,   0.7656E+28
3.000000,  0.00,     3230.0,   0.7637E+28
3.000000,  0.00,     3235.0,   0.7891E+28
3.000000,  0.00,     3240.0,   0.8349E+28
3.000000,  0.00,     3245.0,   0.8973E+28
3.000000,  0.00,     3250.0,   0.9666E+28
3.000000,  0.00,     3255.0,   0.1041E+29
3.000000,  0.00,     3260.0,   0.1108E+29
3.000000,  0.00,     3265.0,   0.1143E+29
3.000000,  0.00,     3270.0,   0.1140E+29
3.000000,  0.00,     3275.0,   0.1113E+29
3.000000,  0.00,     3280.0,   0.1104E+29
3.000000,  0.00,     3285.0,   0.1142E+29
3.000000,  0.00,     3290.0,   0.1209E+29
3.000000,  0.00,     3295.0,   0.1268E+29
3.000000,  0.00,     3300.0,   0.1274E+29
3.000000,  0.00,     3305.0,   0.1210E+29
3.000000,  0.00,     3310.0,   0.1142E+29
3.000000,  0.00,     3315.0,   0.1127E+29
3.000000,  0.00,     3320.0,   0.1135E+29
3.000000,  0.00,     3325.0,   0.1131E+29
3.000000,  0.00,     3330.0,   0.1122E+29
3.000000,  0.00,     3335.0,   0.1122E+29
3.000000,  0.00,     3340.0,   0.1139E+29
3.000000,  0.00,     3345.0,   0.1167E+29
3.000000,  0.00,     3350.0,   0.1174E+29
3.000000,  0.00,     3355.0,   0.1128E+29
3.000000,  0.00,     3360.0,   0.1058E+29
3.000000,  0.00,     3365.0,   0.1009E+29
3.000000,  0.00,     3370.0,   0.1004E+29
3.000000,  0.00,     3375.0,   0.1050E+29
3.000000,  0.00,     3380.0,   0.1108E+29
3.000000,  0.00,     3385.0,   0.1149E+29
3.000000,  0.00,     3390.0,   0.1183E+29
3.000000,  0.00,     3395.0,   0.1218E+29
3.000000,  0.00,     3400.0,   0.1240E+29
3.000000,  0.00,     3405.0,   0.1238E+29
3.000000,  0.00,     3410.0,   0.1215E+29
3.000000,  0.00,     3415.0,   0.1211E+29
3.000000,  0.00,     3420.0,   0.1225E+29
3.000000,  0.00,     3425.0,   0.1240E+29
3.000000,  0.00,     3430.0,   0.1214E+29
3.000000,  0.00,     3435.0,   0.1125E+29
3.000000,  0.00,     3440.0,   0.1044E+29
3.000000,  0.00,     3445.0,   0.1040E+29
3.000000,  0.00,     3450.0,   0.1093E+29
3.000000,  0.00,     3455.0,   0.1157E+29
3.000000,  0.00,     3460.0,   0.1192E+29
3.000000,  0.00,     3465.0,   0.1173E+29
3.000000,  0.00,     3470.0,   0.1134E+29
3.000000,  0.00,     3475.0,   0.1124E+29
