angstrom,flux
1351.635254,0
1352.11722,0
1352.599186,0
1353.081151,0
1353.563117,0
1354.045082,0.06618962433
1354.527048,0.09898628503
1355.009014,0.1389385808
1355.490979,0.2069171139
1355.972945,0.1788908766
1356.45491,0.1419200954
1356.936876,0.2033392964
1357.418842,0.1735241503
1357.900807,0.2313655337
1358.382773,0.2379248658
1358.864738,0.3750745379
1359.346704,0.4341085271
1359.82867,0.3118664281
1360.310635,0.2420989863
1360.792601,0.3333333333
1361.274566,0.2725104353
1361.756532,0.3422778772
1362.238498,0.3041144902
1362.720463,0.3500298151
1363.202429,0.3220035778
1363.684394,0.2039355993
1364.16636,0.2248062016
1364.648326,0.2641621944
1365.130291,0.2605843769
1365.612257,0.1961836613
1366.094222,0.1389385808
1366.576188,0.1890280262
1367.058154,0.1055456172
1367.540119,0.09838998211
1368.022085,0.09838998211
1368.50405,0.274895647
1368.986016,0.129397734
1369.467982,0.04245676804
1369.949947,0.1466905188
1370.431913,0.168157424
1370.913878,0.07453786524
1371.395844,0.08109719738
1371.87781,0.0004186046512
1372.359775,0.1234347048
1372.841741,0.08646392367
1373.323706,0.02844364937
1373.805672,0.023673226
1374.287638,0.1669648181
1374.769603,0.183064997
1375.251569,0.09958258795
1375.733534,0
1376.2155,0.04603458557
1376.697466,0
1377.179431,0
1377.661397,0
1378.143362,0
1378.625328,0.1717352415
1379.107294,0.2307692308
1379.589259,0
1380.071225,0.02862254025
1380.55319,0.02110912343
1381.035156,0.01103160405
1381.517122,0.2754919499
1381.999087,0.0900417412
1382.481053,0.03172331544
1382.963018,0.2248062016
1383.444984,0.183064997
1383.92695,0.2856290996
1384.408915,0.1890280262
1384.890881,0.01347644603
1385.372846,0
1385.854812,0
1386.336778,0.09123434705
1386.818743,0.06320810972
1387.300709,0.01454979129
1387.782674,0.02790697674
1388.26464,0.007811568277
1388.746606,0.1305903399
1389.228571,0.06618962433
1389.710537,0.1383422779
1390.192502,0
1390.674468,0
1391.156434,0
1391.638399,0
1392.120365,0
1392.60233,0
1393.084296,0
1393.566262,0
1394.048227,0
1394.530193,0.05158020274
1395.012158,0.0274895647
1395.494124,0.2480620155
1395.97609,0
1396.458055,0.1538461538
1396.940021,0
1397.421986,0
1397.903952,0
1398.385918,0
1398.867883,0
1399.349849,0
1399.831814,0
1400.31378,0
1400.795746,0
1401.277711,0
1401.759677,0
1402.241642,0
1402.723608,0
1403.205574,0
1403.687539,0
1404.169505,0
1404.65147,0
1405.133436,0
1405.615402,0
1406.097367,0
1406.579333,0
1407.061298,0
1407.543264,0
1408.02523,0
1408.507195,0
1408.989161,0
1409.471126,0
1409.953092,0
1410.435058,0
1410.917023,0
1411.398989,0
1411.880954,0
1412.36292,0
1412.844886,0
1413.326851,0
1413.808817,0
1414.290782,0
1414.772748,0
1415.254714,0
1415.736679,0
1416.218645,0
1416.70061,0.076326774
1417.182576,0.03005366726
1417.664542,0.1335718545
1418.146507,0.1079308289
1418.628473,0.137149672
1419.110438,0.1621943948
1419.592404,0.2045319022
1420.07437,0.1711389386
1420.556335,0.3571854502
1421.038301,0.2909958259
1421.520266,0.1282051282
1422.002232,0.1836612999
1422.484198,0.2009540847
1422.966163,0.2075134168
1423.448129,0.2754919499
1423.930094,0.2474657126
1424.41206,0.2313655337
1424.894026,0.2707215265
1425.375991,0.3500298151
1425.857957,0.2760882528
1426.339922,0.2468694097
1426.821888,0.1621943948
1427.303854,0.2814549791
1427.785819,0.1228384019
1428.267785,0.2617769827
1428.74975,0.3410852713
1429.231716,0.206320811
1429.713682,0.3524150268
1430.195647,0.3381037567
1430.677613,0.5044722719
1431.159578,0.3881932021
1431.641544,0.2963625522
1432.12351,0.4716756112
1432.605475,0.23673226
1433.087441,0.252236136
1433.569406,0.3088849135
1434.051372,0.351222421
1434.533338,0.4263565891
1435.015303,0.2355396541
1435.497269,0.1669648181
1435.979234,0.2957662493
1436.4612,0.1705426357
1436.943166,0.1538461538
1437.425131,0.3029218843
1437.907097,0.3470483005
1438.389062,0.4669051878
1438.871028,0.1943947525
1439.352994,0.2570065593
1439.834959,0.4239713775
1440.316925,0.305307096
1440.79889,0.3136553369
1441.280856,0.3011329756
1441.762822,0.282647585
1442.244787,0.2933810376
1442.726753,0.2409063804
1443.208718,0.274895647
1443.690684,0.3917710197
1444.17265,0.3679189028
1444.654615,0.3261776983
1445.136581,0.3649373882
1445.618546,0.3387000596
1446.100512,0.3214072749
1446.582478,0.2659511032
1447.064443,0.4364937388
1447.546409,0.290399523
1448.028374,0.3464519976
1448.51034,0.23673226
1448.992306,0.3398926655
1449.474271,0.2838401908
1449.956237,0.343470483
1450.438202,0.2629695886
1450.920168,0.3059033989
1451.402134,0.3929636255
1451.884099,0.3476446035
1452.366065,0.3249850924
1452.84803,0.4543828265
1453.329996,0.3381037567
1453.811962,0.3035181872
1454.293927,0.3076923077
1454.775893,0.305307096
1455.257858,0.2355396541
1455.739824,0.221228384
1456.22179,0.2587954681
1456.703755,0.2432915921
1457.185721,0.2754919499
1457.667686,0.3160405486
1458.149652,0.3142516398
1458.631618,0.2122838402
1459.113583,0.2361359571
1459.595549,0.1246273107
1460.077514,0.3321407275
1460.55948,0.2856290996
1461.041446,0.2218246869
1461.523411,0.1389385808
1462.005377,0.2325581395
1462.487342,0.3011329756
1462.969308,0.2307692308
1463.451274,0.2325581395
1463.933239,0.2158616577
1464.415205,0.106738223
1464.89717,0.1890280262
1465.379136,0.2391174717
1465.861102,0.2617769827
1466.343067,0.2796660704
1466.825033,0.2432915921
1467.306998,0.1824686941
1467.788964,0.1949910555
1468.27093,0.2152653548
1468.752895,0.1932021467
1469.234861,0.2164579606
1469.716826,0.2796660704
1470.198792,0.175313059
1470.680758,0.1252236136
1471.162723,0.175909362
1471.644689,0.1818723912
1472.126654,0.2552176506
1472.60862,0.3309481216
1473.090586,0.327966607
1473.572551,0.2456768038
1474.054517,0.404889684
1474.536482,0.4317233154
1475.018448,0.2462731067
1475.500414,0.1663685152
1475.982379,0.2665474061
1476.464345,0.3732856291
1476.94631,0.3482409064
1477.428276,0.3923673226
1477.910242,0.3613595707
1478.392207,0.4627310674
1478.874173,0.4269528921
1479.356138,0.3959451401
1479.838104,0.4221824687
1480.32007,0.4114490161
1480.802035,0.4078711986
1481.284001,0.4525939177
1481.765966,0.351222421
1482.247932,0.4072748956
1482.729898,0.4686940966
1483.211863,0.2927847346
1483.693829,0.4752534287
1484.175794,0.3649373882
1484.65776,0.3231961837
1485.139726,0.412045319
1485.621691,0.2361359571
1486.103657,0.2110912343
1486.585622,0.2188431723
1487.067588,0.1103160405
1487.549554,0.160405486
1488.031519,0.1174716756
1488.513485,0.137149672
1488.99545,0.1216457961
1489.477416,0.04531902206
1489.959382,0.167561121
1490.441347,0.2236135957
1490.923313,0.2093023256
1491.405278,0.2230172928
1491.887244,0.305307096
1492.36921,0.2945736434
1492.851175,0.3899821109
1493.333141,0.4698867024
1493.815106,0.3864042934
1494.297072,0.5146094216
1494.779038,0.4847942755
1495.261003,0.4847942755
1495.742969,0.4341085271
1496.224934,0.3864042934
1496.7069,0.3345259392
1497.188866,0.3804412642
1497.670831,0.3875968992
1498.152797,0.435301133
1498.634762,0.4549791294
1499.116728,0.4919499106
1499.598694,0.4603458557
1500.080659,0.3762671437
1500.562625,0.4740608229
1501.04459,0.3858079905
1501.526556,0.3911747168
1502.008522,0.3858079905
1502.490487,0.419797257
1502.972453,0.3786523554
1503.454418,0.4382826476
1503.936384,0.2909958259
1504.41835,0.2856290996
1504.900315,0.2808586762
1505.382281,0.2623732856
1505.864246,0.1854502087
1506.346212,0.282647585
1506.828178,0.2498509243
1507.310143,0.1967799642
1507.792109,0.1741204532
1508.274074,0.1878354204
1508.75604,0.2933810376
1509.238006,0.2397137746
1509.719971,0.282647585
1510.201937,0.1705426357
1510.683902,0.2653548002
1511.165868,0.3476446035
1511.647834,0.327966607
1512.129799,0.4728682171
1512.611765,0.4019081694
1513.09373,0.7215265355
1513.575696,0.4317233154
1514.057662,0.6976744186
1514.539627,0.5635062612
1515.021593,0.373881932
1515.503558,0.5175909362
1515.985524,0.7036374478
1516.46749,0.4847942755
1516.949455,0.5682766846
1517.431421,0.5521765057
1517.913386,0.6618962433
1518.395352,0.8109719738
1518.877318,0.5086463924
1519.359283,0.4090638044
1519.841249,0.5247465713
1520.323214,0.4466308885
1520.80518,0.2820512821
1521.287146,0.1037567084
1521.769111,0.1568276685
1522.251077,0.2271914132
1522.733042,0
1523.215008,0
1523.696974,0.07155635063
1524.178939,0.03160405486
1524.660905,0.0480620155
1525.14287,0
1525.624836,0
1526.106802,0
1526.588767,0
1527.070733,0
1527.552698,0
1528.034664,0
1528.51663,0
1528.998595,0
1529.480561,0
1529.962526,0
1530.444492,0
1530.926458,0
1531.408423,0
1531.890389,0
1532.372354,0
1532.85432,0
1533.336286,0
1533.818251,0
1534.300217,0
1534.782182,0
1535.264148,0
1535.746114,0
1536.228079,0
1536.710045,0
1537.19201,0
1537.673976,0
1538.155942,0
1538.637907,0
1539.119873,0
1539.601838,0
1540.083804,0
1540.56577,0
1541.047735,0
1541.529701,0
1542.011666,0
1542.493632,0
1542.975598,0
1543.457563,0
1543.939529,0
1544.421494,0
1544.90346,0
1545.385426,0
1545.867391,0
1546.349357,0
1546.831322,0
1547.313288,0
1547.795254,0
1548.277219,0
1548.759185,0
1549.24115,0
1549.723116,0
1550.205082,0
1550.687047,0.08407871199
1551.169013,0.1210494931
1551.650978,0.213476446
1552.132944,0.290399523
1552.61491,0.1198568873
1553.096875,0.008407871199
1553.578841,0
1554.060806,0
1554.542772,0
1555.024738,0
1555.506703,0
1555.988669,0
1556.470634,0
1556.9526,0
1557.434566,0
1557.916531,0
1558.398497,0
1558.880462,0
1559.362428,0
1559.844394,0
1560.326359,0
1560.808325,0
1561.29029,0
1561.772256,0
1562.254222,0
1562.736187,0
1563.218153,0
1563.700118,0
1564.182084,0
1564.66405,0
1565.146015,0
1565.627981,0
1566.109946,0
1566.591912,0
1567.073878,0
1567.555843,0
1568.037809,0
1568.519774,0
1569.00174,0
1569.483706,0
1569.965671,0
1570.447637,0
1570.929602,0
1571.411568,0
1571.893534,0
1572.375499,0
1572.857465,0
1573.33943,0
1573.821396,0
1574.303362,0
1574.785327,0
1575.267293,0
1575.749258,0
1576.231224,0
1576.71319,0
1577.195155,0
1577.677121,0
1578.159086,0
1578.641052,0
1579.123018,0
1579.604983,0
1580.086949,0
1580.568914,0
1581.05088,0
1581.532846,0
1582.014811,0
1582.496777,0
1582.978742,0
1583.460708,0
1583.942674,0.06976744186
1584.424639,0.04758497317
1584.906605,0.07751937984
1585.38857,0.129397734
1585.870536,0.07692307692
1586.352502,0.03774597496
1586.834467,0.01288014311
1587.316433,0.04156231366
1587.798398,0.04472271914
1588.280364,0.004609421586
1588.76233,0.07394156231
1589.244295,0.04305307096
1589.726261,0.02259988074
1590.208226,0.0335718545
1590.690192,0.01639833035
1591.172158,0.1132975552
1591.654123,0.1926058438
1592.136089,0.167561121
1592.618054,0.1520572451
1593.10002,0.1741204532
1593.581986,0.2331544425
1594.063951,0.2283840191
1594.545917,0.1502683363
1595.027882,0.1717352415
1595.509848,0.1651759094
1595.991814,0.1747167561
1596.473779,0.1818723912
1596.955745,0.2015503876
1597.43771,0.2665474061
1597.919676,0.2695289207
1598.401642,0.2397137746
1598.883607,0.2611806798
1599.365573,0.2892069171
1599.847538,0.1788908766
1600.329504,0.1848539058
1600.81147,0.2188431723
1601.293435,0.1705426357
1601.775401,0.1991651759
1602.257366,0.1973762671
1602.739332,0.198568873
1603.221298,0.1627906977
1603.703263,0.1765056649
1604.185229,0.2188431723
1604.667194,0.1884317233
1605.14916,0.2283840191
1605.631126,0.282647585
1606.113091,0.2796660704
1606.595057,0.2104949314
1607.077022,0.1401311866
1607.558988,0.1556350626
1608.040954,0.2587954681
1608.522919,0.2248062016
1609.004885,0.221228384
1609.48685,0.1580202743
1609.968816,0.1466905188
1610.450782,0.1216457961
1610.932747,0.1395348837
1611.414713,0.1502683363
1611.896678,0.160405486
1612.378644,0.2218246869
1612.86061,0.2325581395
1613.342575,0.2605843769
1613.824541,0.2677400119
1614.306506,0.1878354204
1614.788472,0.1395348837
1615.270438,0.1550387597
1615.752403,0.1729278473
1616.234369,0.1240310078
1616.716334,0.08467501491
1617.1983,0.1252236136
1617.680266,0.1001788909
1618.162231,0.1890280262
1618.644197,0.2200357782
1619.126162,0.2003577818
1619.608128,0.1836612999
1620.090094,0.2480620155
1620.572059,0.2462731067
1621.054025,0.1419200954
1621.53599,0.3452593918
1622.017956,0.3685152057
1622.499922,0.2790697674
1622.981887,0.2486583184
1623.463853,0.2397137746
1623.945818,0.2248062016
1624.427784,0.1198568873
1624.90975,0.05784138342
1625.391715,0
1625.873681,0.0267143709
1626.355646,0.09063804413
1626.837612,0
1627.319578,0
1627.801543,0
1628.283509,0
1628.765474,0
1629.24744,0
1629.729406,0
1630.211371,0
1630.693337,0
1631.175302,0
1631.657268,0
1632.139234,0
1632.621199,0
1633.103165,0
1633.58513,0
1634.067096,0
1634.549062,0
1635.031027,0
1635.512993,0
1635.994958,0
1636.476924,0
1636.95889,0
1637.440855,0
1637.922821,0
1638.404786,0
1638.886752,0
1639.368718,0
1639.850683,0
1640.332649,0
1640.814614,0
1641.29658,0
1641.778546,0
1642.260511,0
1642.742477,0
1643.224442,0
1643.706408,0
1644.188374,0
1644.670339,0
1645.152305,0.05623136553
1645.63427,0.09779367919
1646.116236,0.09183064997
1646.598202,0.03655336911
1647.080167,0.06797853309
1647.562133,0.1049493143
1648.044098,0.03202146691
1648.526064,0.08348240906
1649.00803,0.1216457961
1649.489995,0.09242695289
1649.971961,0.137149672
1650.453926,0.1174716756
1650.935892,0.00870602266
1651.417858,0
1651.899823,0.08884913536
1652.381789,0.160405486
1652.863754,0.1001788909
1653.34572,0.1258199165
1653.827686,0.1562313655
1654.309651,0.1437090042
1654.791617,0.1383422779
1655.273582,0.1258199165
1655.755548,0.1282051282
1656.237514,0.175313059
1656.719479,0.1854502087
1657.201445,0.1729278473
1657.68341,0.1389385808
1658.165376,0.1460942159
1658.647342,0.1204531902
1659.129307,0.06797853309
1659.611273,0.08228980322
1660.093238,0.06559332141
1660.575204,0.02098986285
1661.05717,0
1661.539135,0
1662.021101,0
1662.503066,0
1662.985032,0
1663.466998,0
1663.948963,0
1664.430929,0
1664.912894,0
1665.39486,0
1665.876826,0
1666.358791,0
1666.840757,0
1667.322722,0
1667.804688,0
1668.286654,0
1668.768619,0
1669.250585,0
1669.73255,0
1670.214516,0
1670.696482,0
1671.178447,0
1671.660413,0
1672.142378,0
1672.624344,0
1673.10631,0
1673.588275,0
1674.070241,0
1674.552206,0
1675.034172,0
1675.516138,0
1675.998103,0
1676.480069,0
1676.962034,0
1677.444,0
1677.925966,0
1678.407931,0
1678.889897,0
1679.371862,0
1679.853828,0
1680.335794,0
1680.817759,0
1681.299725,0
1681.78169,0
1682.263656,0
1682.745622,0
1683.227587,0
1683.709553,0
1684.191518,0
1684.673484,0
1685.15545,0
1685.637415,0
1686.119381,0
1686.601346,0
1687.083312,0
1687.565278,0
1688.047243,0
1688.529209,0
1689.011174,0
1689.49314,0
1689.975106,0
1690.457071,0
1690.939037,0
1691.421002,0
1691.902968,0
1692.384934,0
1692.866899,0
1693.348865,0
1693.83083,0
1694.312796,0
1694.794762,0
1695.276727,0
1695.758693,0
1696.240658,0
1696.722624,0
1697.20459,0
1697.686555,0
1698.168521,0
1698.650486,0
1699.132452,0
1699.614418,0
1700.096383,0
1700.578349,0
1701.060314,0.02623732856
1701.54228,0.03398926655
1702.024246,0.05324985092
1702.506211,0.1031604055
1702.988177,0.05617173524
1703.470142,0.08646392367
1703.952108,0.1001788909
1704.434074,0.0816935003
1704.916039,0.1085271318
1705.398005,0.1520572451
1705.87997,0.1848539058
1706.361936,0.2468694097
1706.843902,0.2075134168
1707.325867,0.2259988074
1707.807833,0.2301729278
1708.289798,0.2075134168
1708.771764,0.2098986285
1709.25373,0.2098986285
1709.735695,0.1765056649
1710.217661,0.2355396541
1710.699626,0.2236135957
1711.181592,0.2480620155
1711.663558,0.1979725701
1712.145523,0.1538461538
1712.627489,0.1699463327
1713.109454,0.1794871795
1713.59142,0.2271914132
1714.073386,0.3064997018
1714.555351,0.3136553369
1715.037317,0.3142516398
1715.519282,0.3470483005
1716.001248,0.3548002385
1716.483214,0.3607632677
1716.965179,0.3583780561
1717.447145,0.3398926655
1717.92911,0.3345259392
1718.411076,0.274895647
1718.893042,0.3345259392
1719.375007,0.3476446035
1719.856973,0.3190220632
1720.338938,0.3124627311
1720.820904,0.2981514609
1721.30287,0.3249850924
1721.784835,0.373881932
1722.266801,0.3440667859
1722.748766,0.2766845558
1723.230732,0.2385211688
1723.712698,0.2355396541
1724.194663,0.2236135957
1724.676629,0.2128801431
1725.158594,0.221228384
1725.64056,0.206320811
1726.122526,0.1323792487
1726.604491,0.1592128801
1727.086457,0.2039355993
1727.568422,0.2224209899
1728.050388,0.1896243292
1728.532354,0.2045319022
1729.014319,0.1973762671
1729.496285,0.1735241503
1729.97825,0.14490161
1730.460216,0.1413237925
1730.942182,0.1812760883
1731.424147,0.1478831246
1731.906113,0.1037567084
1732.388078,0.09779367919
1732.870044,0
1733.35201,0
1733.833975,0
1734.315941,0
1734.797906,0
1735.279872,0
1735.761838,0
1736.243803,0
1736.725769,0
1737.207734,0
1737.6897,0
1738.171666,0
1738.653631,0
1739.135597,0
1739.617562,0
1740.099528,0
1740.581494,0
1741.063459,0
1741.545425,0
1742.02739,0
1742.509356,0
1742.991322,0
1743.473287,0
1743.955253,0
1744.437218,0
1744.919184,0
1745.40115,0
1745.883115,0
1746.365081,0
1746.847046,0
1747.329012,0
1747.810978,0
1748.292943,0
1748.774909,0
1749.256874,0
1749.73884,0
1750.220806,0
1750.702771,0
1751.184737,0
1751.666702,0
1752.148668,0
1752.630634,0
1753.112599,0
1753.594565,0
1754.07653,0
1754.558496,0
1755.040462,0
1755.522427,0
1756.004393,0
1756.486358,0.04221824687
1756.968324,0.05444245677
1757.45029,0.2164579606
1757.932255,0.2403100775
